Include,ID,Cage,Sex,Generation,Parents,Line,X1A GT,DOB,Age,DOW,Start Age,TCT_Date,TCT_Lane,TCT_Time,StimID,StimSide,StimSide_Video,StimAge,TCT_filename,TCT_start,TCT_stop,OFT_Date,OFT_Time,OFT_filename,OFT_start,OFT_stop,Sac_Date,Repeat_Genotyping,Notes
TRUE,E0443,4876756,M,F8,N56,X1,Het,8/3/23,5m 19d,8/30/23,7w 5d,9/26/23,1,3:56 PM,E0348,Orange,Left,8w 6d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20230926_3TopBiggie_1BottomE0443,1960,2560,9/28/23,3:03 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20230928_E0443,28,628,9/29/23,Het,Formerly E0379 (het)
TRUE,E0441,4876756,M,F8,N56,X1,Het,8/3/23,5m 19d,8/30/23,7w 5d,9/26/23,2,3:56 PM,E0350,Green,Right,8w 4d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20230926_4TopLilGuy_2BottomE0441,1961,2561,9/28/23,3:23 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20230928_E0441,24,624,9/29/23,Het,Formerly E0380 or E0381 (both het)
TRUE,Biggie,4876756,M,F8,N56,X1,WT,8/3/23,5m 19d,8/30/23,7w 5d,9/26/23,3,3:56 PM,E0347,Green,Right,8w 6d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20230926_3TopBiggie_1BottomE0443,1963,2563,9/28/23,3:40 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20230928_Biggie,32,632,9/29/23,WT,"No tag, larger animal; Formerly E0442 (formerly E0380 or E0381 (both het) or E0383 (WT)"
TRUE,Lil Guy,4876756,M,F8,N56,X1,Het,8/3/23,5m 19d,8/30/23,7w 5d,9/26/23,4,3:56 PM,E0351,Orange,Left,8w 4d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20230926_4TopLilGuy_2BottomE0441,1957,2557,9/28/23,3:54 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20230928_LilGuy,17,617,9/29/23,Het,"No tag, smaller animal; Formerly E0442 (formerly E0380 or E0381 (both het) or E0383 (WT)"
TRUE,B8261,4915210,F,F9,SCN7,X1,Het,8/8/23,5m 14d,8/28/23,7w 0d,9/26/23,1,2:42 PM,E0367,Green,Right,8w 4d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20230926_3TopB8263_1BottomB8261,1829,2429,9/28/23,1:58 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20230928_B8261,21,621,9/29/23,Het,
TRUE,B8262,4915210,F,F9,SCN7,X1,Het,8/8/23,5m 14d,8/28/23,7w 0d,9/26/23,2,2:42 PM,E0365,Orange,Left,8w 4d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20230926_4TopB8264_2BottomB8262_trimmed.mp4,248,848,9/28/23,2:45 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20230928_B8262,20,620,9/29/23,Het,
TRUE,B8263,4915210,F,F9,SCN5,X1,Het,8/4/23,5m 18d,8/28/23,7w 4d,9/26/23,3,2:42 PM,E0364,Orange,Left,8w 4d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20230926_3TopB8263_1BottomB8261,1833,2433,9/28/23,2:29 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20230928_B8263,17,617,9/29/23,Het,
TRUE,B8264,4915210,F,F9,SCN5,X1,Het,8/4/23,5m 18d,8/28/23,7w 4d,9/26/23,4,2:42 PM,E0361,Green,Right,8w 4d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20230926_4TopB8264_2BottomB8262_trimmed.mp4,254,854,9/28/23,2:14 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20230928_B8264,43,643,9/29/23,Het,
TRUE,E0437,4876757,F,F9,N59,X1,WT,8/9/23,5m 13d,9/5/23,8w 0d,10/4/23,1,1:34 PM,E0364,Green,Right,9w 5d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231004_1E0437,1480,2080,10/6/23,1:34 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231006_E0437,24,624,10/6/23,WT,
TRUE,E0440,4876757,F,F9,N59,X1,WT,8/9/23,5m 13d,9/5/23,8w 0d,10/4/23,2,1:34 PM,E0361,Orange,Left,9w 5d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231004_2E0440,1446,2046,10/6/23,1:21 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231006_E0440,25,625,10/6/23,WT,
