,ID,Sex,Geno,oft_datetime,oft_nanList,oft_cm_px,oft_Outer,oft_Center,oft_Distance_px,oft_Distance_cm,tct_stimSide,tct_nanList,tct_StimSide,tct_Center,tct_ObjSide,tct_StimIntxn,tct_NoIntxn,tct_ObjIntxn
0,E0443,M,Het,"9/28/23, 3:03 PM",,0.101887852,0.820502785,0.179497215,89640.52634,9133.280659,Left,"Int64Index([8988, 8989, 8990, 8991, 8992, 8993], dtype='int64')",0.540162556,0.113217706,0.346619738,0.307244607,0.550485683,0.14226971
1,E0441,M,Het,"9/28/23, 3:23 PM",,0.101969964,0.917038676,0.082961324,45625.48161,4652.428704,Right,"Int64Index([], dtype='int64')",0.276680762,0.723319238,0,0.16724152,0.83275848,0
2,Biggie,M,WT,"9/28/23, 3:40 PM",,0.101779249,0.954745983,0.045254017,50958.26852,5186.494291,Right,"Int64Index([10621, 10622, 10623, 10624, 10625, 10626, 10627, 10628, 10629,
            10630, 10631, 10632, 10633, 10634, 10635, 10636, 10637, 10638,
            10639, 10640, 10641, 10642, 10643, 10644, 10645, 10646, 10647,
            10648, 10649],
           dtype='int64')",0.493616339,0.207026279,0.299357383,0.245836114,0.606195683,0.147968204
3,LilGuy,M,Het,"9/28/23, 3:54 PM",,0.101926863,0.930694103,0.069305897,111641.3958,11379.25729,Left,"Int64Index([], dtype='int64')",0.483117268,0.034962194,0.481920538,0.322457829,0.538657446,0.138884725
4,B8261,F,Het,"9/28/23, 1:58 PM",,0.101084725,0.914295054,0.085704946,48361.56551,4888.615547,Right,"Int64Index([], dtype='int64')",0.626656885,0.021120625,0.35222249,0.40345476,0.375231222,0.221314019
5,B8262,F,Het,"9/28/23, 2:45 PM",,0.101572502,0.918106511,0.081893489,73802.74609,7496.329597,Left,"Int64Index([ 4328,  4329,  4330,  4339,  4340,  4341,  4342,  4343,  4344,
             4345,
            ...
            12874, 12875, 12876, 12877, 12878, 12879, 12880, 12881, 12882,
            14124],
           dtype='int64', length=171)",0.64668872,0.11198683,0.24132445,0.332598347,0.53538382,0.132017832
6,B8263,F,Het,"9/28/23, 2:29 PM",,0.100725514,0.935306767,0.064693233,30133.8275,3035.245275,Left,"Int64Index([ 7101,  7102,  7103,  7104,  7105,  7106,  7107,  7108,  7109,
             7110,  7111,  7112,  7113,  7114,  7115,  7116,  7117,  7118,
             7119,  7120,  7121,  7122,  7123,  7124,  7125,  7126,  7127,
             7128,  7129,  7130,  7131,  7132,  7133,  7134,  7135,  7136,
             7137,  7138,  7139,  7140,  7141,  7142,  7143,  7144,  7145,
             7146,  7147,  7148,  7149,  7150,  7151,  7152,  7153, 11675,
            15842, 15843, 15844, 15845, 15846, 15847, 15848, 15849, 15850,
            15877, 15878, 15879, 15880, 15881, 15882, 15883, 15884, 15885,
            15886, 15887, 15888, 15889, 15890, 15891, 15892, 15893, 15894,
            15895, 15896, 15897, 15898, 15899, 15900, 15901, 15902, 15903],
           dtype='int64')",0.780809413,0.037282942,0.181907645,0.3947753,0.498685393,0.106539306
7,B8264,F,Het,"9/28/23, 2:14 PM",,0.102104813,0.883727515,0.116272485,79633.88655,8131.003094,Right,"Int64Index([ 8837,  8838,  8839,  8840,  8841,  8842,  8843,  8844,  8845,
             8846,
            ...
            14337, 14338, 14342, 14343, 14344, 14345, 14346, 14347, 14348,
            14349],
           dtype='int64', length=158)",0.541765182,0.114430701,0.343804117,0.275245134,0.577766845,0.146988021
8,E0437,F,WT,"10/6/23, 1:34 PM",,0.101242832,0.891226105,0.108773895,52235.69481,5288.489664,Right,"Int64Index([], dtype='int64')",0.324495383,0.16003688,0.515467737,0.18731766,0.621495585,0.191186755
9,E0440,F,WT,"10/6/23, 1:21 PM",,0.100862698,0.929303742,0.070696258,44635.54951,4502.06197,Left,"Int64Index([13821, 13822, 13823, 13824, 13825, 13826, 13827, 13828, 13829,
            13830, 13831, 13832, 13833, 13834, 13835, 13836, 13837, 13838,
            13839, 13840, 13841, 13842, 13843, 13844, 13845, 13846, 13847,
            13848, 13849, 16044, 16045, 16046, 16047, 16048, 16049, 16050,
            16051, 16052, 16053, 16054, 16055, 16056, 16057, 16058, 16059,
            16060],
           dtype='int64')",0.597095784,0.152765245,0.25013897,0.354206492,0.503357565,0.142435943
10,E0434,M,Het,"10/6/23, 2:06 PM",,0.101348153,0.968343095,0.031656905,38309.31379,3882.578189,Right,"Int64Index([], dtype='int64')",0,0.555949768,0.444050232,0,1,0
11,E0435,M,Het,"10/6/23, 1:51 PM",,0.101466443,0.67266218,0.32733782,87751.81919,8903.864946,Right,"Int64Index([], dtype='int64')",0.705264692,0.244492567,0.050242741,0.226915738,0.750842351,0.022241911
12,E0439,M,Het,"10/6/23, 2:22 PM",,0.101663334,0.862985563,0.137014437,63322.48361,6437.574832,Left,"Int64Index([], dtype='int64')",0,0.007893778,0.992106222,0,0.998826333,0.001173667
13,E0484,F,WT,"10/26/23, 1:42 PM",,0.101308574,0.885888894,0.114111106,94668.73488,9590.754576,Right,"Int64Index([5779, 5780], dtype='int64')",0.705383267,0.083072528,0.211544206,0.345740165,0.524698873,0.129560962
14,E0490,F,Het,"10/26/23, 2:12 PM",,0.100507008,0.85571049,0.14428951,95350.97462,9583.441169,Left,"Int64Index([7663, 7664], dtype='int64')",0.329518174,0.039130144,0.631351682,0.258994638,0.270303917,0.470701446
15,E0492,F,Het,"10/26/23, 1:57 PM",,0.101615879,0.820503132,0.179496868,106663.4633,10838.70157,Left,"Int64Index([], dtype='int64')",0.573759556,0.040506611,0.385733833,0.300508944,0.514233722,0.185257333
16,E0487,M,Het,"10/26/23, 2:32 PM",,0.101870158,0.89628594,0.10371406,65087.86526,6630.511116,Left,"Int64Index([ 6894,  6895,  6896,  6897,  6898,  6900,  6901,  6904,  6905,
             6906,
            ...
             8892,  8893,  8894,  8895,  8896,  8897,  8898, 12285, 12286,
            12287],
           dtype='int64', length=189)",0.31076926,0.054285538,0.634945202,0.203558635,0.677679879,0.118761486
17,E0488,M,Het,"10/26/23, 3:22 PM",,0.101658962,0.760639603,0.239360397,55784.50034,5670.99442,Left,"Int64Index([], dtype='int64')",0.686703937,0.306468978,0.006827086,0.302471154,0.692088723,0.005440123
