file,behavior1,behavior1_end,behavior2,behavior2_start,gap_duration
Nov22_Pair15_Intro.csv,Investigate,1401.436,Huddle,1401.935,0.49900000000002365
Nov22_Pair24_Intro.csv,Investigate,50.367,No interaction,50.452,0.08500000000000085
Nov22_Pair26_Intro.csv,Sniff,458.872,No interaction,459.12,0.24799999999999045
Nov22_Pair27_Intro.csv,Sniff,428.418,No interaction,428.42,0.0020000000000095497
Nov22_Pair27_Intro.csv,Sniff,572.286,Investigate,572.29,0.004000000000019099
Nov22_Pair27_Intro.csv,No interaction,770.879,Sniff,771.128,0.24900000000002365
Nov22_Pair28_Intro.csv,No interaction,539.198,No interaction,539.206,0.008000000000038199
Nov22_Pair28_Intro.csv,Sniff,539.621,Sniff,540.122,0.5009999999999764
Nov22_Pair30_Intro.csv,Sniff,309.286,Investigate,309.288,0.0020000000000095497
Nov22_Pair4_Intro.csv,Sniff,571.886,No interaction,571.905,0.019000000000005457
Nov22_Pair49_Intro.csv,No interaction,1077.872,Investigate,1077.877,0.004999999999881766
Nov22_Pair56_Intro.csv,Investigate,330.37,Defensive rear,330.623,0.2529999999999859
Nov22_Pair64_Intro.csv,No interaction,1798.639,Huddle,1798.89,0.2510000000002037
