file,behavior1,behavior1_end,behavior2,behavior2_start,gap_duration
NK_011823_Nov22_Pair1_SR_WIN_20221120_13_40_22_Pro.csv,No interaction,4141.357,Investigate,4153.255,11.898000000000138
NK_011823_Nov22_Pair1_SR_WIN_20221120_13_40_22_Pro.csv,No interaction,4316.464,Sniff,4316.72,0.25600000000031287
NK_011823_Nov22_Pair1_SR_WIN_20221120_13_40_22_Pro.csv,Sniff,4317.469,No interaction,4319.218,1.7489999999997963
NK_Nov22_Pair15_SR_2023-01-09 13-44-53.csv,No interaction,4196.035,Investigate,4197.285,1.25
NK_Male_Nov22_Pair18_SR_2023-01-11 13-52-21.csv,Sniff,5133.292,Investigate,5133.79,0.49799999999959255
NK_Nov22_Pair21_SR_2023-01-30 11-27-39.csv,Huddle,5088.125,No interaction,5093.121,4.996000000000095
NK_Nov22_Pair22_SR_2023-01-30 11-28-32.csv,No interaction,4494.702,Investigate,4495.457,0.7550000000001091
NK_Male_Nov22_Pair24_SR_2023-02-01 15-07-38.csv,Sniff,3983.702,No interaction,3984.202,0.5
NK_Male_Nov22_Pair24_SR_2023-02-01 15-07-38.csv,Sniff,5475.709,No interaction,5476.208,0.4989999999997963
NK_Male_Nov22_Pair34_SR_2023-02-15 13-55-54.csv,Sniff,4414.374,No interaction,4418.372,3.998000000000502
NK_Male_Nov22_Pair34_SR_2023-02-15 13-55-54.csv,Huddle,4462.041,No interaction,4466.79,4.748999999999796
NK_Male_Nov22_Pair41_SR_2023-03-22 13-17-46.csv,Sniff,4035.128,No interaction,4035.876,0.7480000000000473
NK_Male_Nov22_Pair48_SR_2023-04-19 13-37-39.csv,No interaction,5215.618,Huddle,5217.869,2.2509999999992942
NK_Male_Nov22_Pair51_SR_2023-04-26 12-03-25.csv,Defensive rear,4696.202,No interaction,4698.451,2.2489999999997963
NK_Male_Nov22_Pair51_SR_2023-04-26 12-03-25.csv,Defensive rear,5173.704,No interaction,5176.452,2.748000000000502
NK_Male_Nov22_Pair52_SR_2023-04-26 12-03-27.csv,No interaction,5196.876,Huddle,5203.625,6.748999999999796
NK_Nov22_Pair59_SR_2023-09-11 13-43-22.csv,Huddle,3807.456,No interaction,3809.206,1.75
NK_Nov22_Pair61_SR_2023-11-13 11-58-58.csv,Huddle,4375.29,No interaction,4379.543,4.252999999999702
NK_Nov22_Pair61_SR_2023-11-13 11-58-58.csv,Huddle,4593.29,No interaction,4593.538,0.24799999999959255
NK_Nov22_Pair8_SR_WIN_20221205_11_08_01_Pro (imported at 2023-12-11 14_34_14).csv,Sniff,4138.337,No interaction,4138.588,0.25099999999929423
