PairTag,AssayType,RecDate,RecTime,VideoFile,VideoPath,ScoreFile,ScorePath,FemaleID,FemaleGT,FemaleFam,FemaleDOB,MaleID,MaleGT,MaleFam,MaleDOB,PairDate,CohortTag,AssayStart,FocalID,FocalSex,FocalGT,AssayDuration,AssayRoom,Timeline,Ethogram,RanBy,ScoredBy,FullTimeline,FocalColor,StrangerID,StrangerGT,PPTlane,PartnerChamber
Nov22_Pair1,timedMating,11/16/2022,13:47,,,,,B8002,Het,,,,,,,20221114,Scn2aX1,,B8002,F,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair15,timedMating,1/5/2023,13:13,,,,,B6614,Het,,,,,,,20230103,Scn2aX1,,B6614,F,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair16,timedMating,1/5/2023,13:13,,,,,B6615,WT,,,,,,,20230103,Scn2aX1,,B6615,F,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair17,timedMating,1/6/2023,13:38,,,,,,,,,B6611,Het,,,20230104,Scn2aX1,,B6611,M,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair18,timedMating,1/6/2023,13:38,,,,,,,,,B6613,WT,,,20230104,Scn2aX1,,B6613,M,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair19,timedMating,1/6/2023,13:38,,,,,,,,,B6616,WT,,,20230104,Scn2aX1,,B6616,M,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair2,timedMating,11/16/2022,13:50,,,,,B8003,WT,,,,,,,20221114,Scn2aX1,,B8003,F,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair21,timedMating,1/26/2023,14:22,,,,,B8038,Het,,,,,,,20230124,Scn2aX1,,B8038,F,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair22,timedMating,1/26/2023,14:22,,,,,B8039,Het,,,,,,,20230124,Scn2aX1,,B8039,F,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair23,timedMating,1/26/2023,14:22,,,,,B8040,Het,,,,,,,20230124,Scn2aX1,,B8040,F,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair24,timedMating,1/27/2023,12:06,,,,,,,,,B8041,Het,,,20230125,Scn2aX1,,B8041,M,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair25,timedMating,1/27/2023,12:06,,,,,,,,,B8042,Het,,,20230125,Scn2aX1,,B8042,M,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair26,timedMating,1/27/2023,12:06,,,,,,,,,B8043,Het,,,20230125,Scn2aX1,,B8043,M,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair27,timedMating,1/27/2023,12:06,,,,,,,,,B8044,Het,,,20230125,Scn2aX1,,B8044,M,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair28,timedMating,2/9/2023,15:08,,,,,B8071,Het,,,,,,,20230207,Scn2aX1,,B8071,F,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair29,timedMating,2/9/2023,15:08,,,,,B8072,Het,,,,,,,20230207,Scn2aX1,,B8072,F,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair3,timedMating,11/16/2022,15:53,,,,,B8004,Het,,,,,,,20221114,Scn2aX1,,B8004,F,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair30,timedMating,2/9/2023,15:08,,,,,B8075,Het,,,,,,,20230207,Scn2aX1,,B8075,F,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair31,timedMating,2/9/2023,15:08,,,,,B8077,WT,,,,,,,20230207,Scn2aX1,,B8077,F,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair32,timedMating,2/10/2023,13:34,,,,,,,,,B8073,Het,,,20230208,Scn2aX1,,B8073,M,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair33,timedMating,2/10/2023,13:34,,,,,,,,,B8074,Het,,,20230208,Scn2aX1,,B8074,M,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair34,timedMating,2/10/2023,13:34,,,,,,,,,B8076,Het,,,20230208,Scn2aX1,,B8076,M,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair37,timedMating,3/3/2023,12:24,,,,,,,,,B8103,Het,,,20230301,Scn2aX1,,B8103,M,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair38,timedMating,3/3/2023,12:24,,,,,,,,,B8104,WT,,,20230301,Scn2aX1,,B8104,M,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair39,timedMating,3/17/2023,14:13,,,,,,,,,B8116,WT,,,20230315,Scn2aX1,,B8116,M,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair4,timedMating,11/16/2022,14:22,,,,,B8005,WT,,,,,,,20221114,Scn2aX1,,B8005,F,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair40,timedMating,3/17/2023,14:13,,,,,,,,,B8117,WT,,,20230315,Scn2aX1,,B8117,M,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair41,timedMating,3/17/2023,14:13,,,,,,,,,B8118,WT,,,20230315,Scn2aX1,,B8118,M,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair42,timedMating,3/24/2023,12:43,,,,,,,,,B8129,Het,,,20230322,Scn2aX1,,B8129,M,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair43,timedMating,3/24/2023,12:43,,,,,,,,,B8130,WT,,,20230322,Scn2aX1,,B8130,M,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair44,timedMating,4/7/2023,13:58,,,,,,,,,B8144,Het,,,20230405,Scn2aX1,,B8144,M,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair46,timedMating,4/7/2023,13:58,,,,,,,,,B8150,Het,,,20230405,Scn2aX1,,B8150,M,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair47,timedMating,4/14/2023,13:29,,,,,,,,,B8159,WT,,,20230412,Scn2aX1,,B8159,M,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair48,timedMating,4/14/2023,13:29,,,,,,,,,B8162,Het,,,20230412,Scn2aX1,,B8162,M,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair49,timedMating,4/14/2023,13:29,,,,,,,,,B8163,WT,,,20230412,Scn2aX1,,B8163,M,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair5,timedMating,12/1/2022,13:10,,,,,B8033,Het,,,,,,,20221129,Scn2aX1,,B8033,F,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair50,timedMating,4/14/2023,13:29,,,,,,,,,B8164,Het,,,20230412,Scn2aX1,,B8164,M,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair51,timedMating,4/21/2023,13:10,,,,,,,,,B8168,WT,,,20230419,Scn2aX1,,B8168,M,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair52,timedMating,4/21/2023,13:10,,,,,,,,,B8170,Het,,,20230419,Scn2aX1,,B8170,M,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair56,timedMating,8/10/2023,12:47,,,,,B8232,WT,,,,,,,20230808,Scn2aX1,,B8232,F,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair57,timedMating,8/11/2023,13:10,,,,,,,,,B8240,WT,,,20230809,Scn2aX1,,B8240,M,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair58,timedMating,8/11/2023,13:10,,,,,,,,,B8241,WT,,,20230809,Scn2aX1,,B8241,M,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair59,timedMating,9/7/2023,13:08,,,,,B8258,WT,,,,,,,20230905,Scn2aX1,,B8258,F,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair6,timedMating,12/1/2022,13:10,,,,,B8034,Het,,,,,,,20221129,Scn2aX1,,B8034,F,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair60,timedMating,9/7/2023,13:08,,,,,B8260,WT,,,,,,,20230905,Scn2aX1,,B8260,F,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair61,timedMating,11/9/2023,13:53,,,,,B8267,WT,,,,,,,20231107,Scn2aX1,,B8267,F,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair62,timedMating,11/9/2023,13:53,,,,,B8268,WT,,,,,,,20231107,Scn2aX1,,B8268,F,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair63,timedMating,11/9/2023,13:53,,,,,B8269,WT,,,,,,,20231107,Scn2aX1,,B8269,F,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair64,timedMating,11/9/2023,13:53,,,,,B8270,WT,,,,,,,20231107,Scn2aX1,,B8270,F,WT,1800,,,,,Gina Williams,,,,,,
Nov22_Pair7,timedMating,12/1/2022,13:10,,,,,B8018,Het,,,,,,,20221129,Scn2aX1,,B8018,F,Het,1800,,,,,Gina Williams,,,,,,
Nov22_Pair8,timedMating,12/1/2022,13:10,,,,,B8019,WT,,,,,,,20221129,Scn2aX1,,B8019,F,WT,1800,,,,,Gina Williams,,,,,,
