PairTag,AssayType,RecDate,RecTime,VideoFile,VideoPath,ScoreFile,ScorePath,FemaleID,FemaleGT,FemaleFam,FemaleDOB,MaleID,MaleGT,MaleFam,MaleDOB,PairDate,CohortTag,AssayStart,FocalID,FocalSex,FocalGT,AssayDuration,AssayRoom,Timeline,Ethogram,RanBy,ScoredBy,FullTimeline,FocalColor,StrangerID,StrangerGT,PPTlane,PartnerChamber
Nov22_Pair1,aggression,20221122,14:33,Nov22_Pair1_RI_WIN_20221122_13_26_39_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female RI\11222022,Nov22_Pair1_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8002,Het,,,,,,,20221114,Scn2aX1,,B8002,F,Het,1200,,,,Gina Williams,Josh Steighner,True,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair15,aggression,20230111,13:06,Nov22_Pair15_RI_2023-01-11 12-01-50.mp4,\Scn2a_X1Behavior_Nov22\Female RI\01112023,Nov22_Pair15_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B6614,Het,,,,,,,20230103,Scn2aX1,,B6614,F,Het,1200,,,,Gina Williams,Josh Steighner,True,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair16,aggression,20230111,13:06,Nov22_Pair16_RI_WIN_20230111_12_03_01_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female RI\01112023,Nov22_Pair16_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B6615,WT,,,,,,,20230103,Scn2aX1,,B6615,F,WT,1200,,,,Gina Williams,Josh Steighner,True,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair17,aggression,20230113,13:49,Nov22_Pair17_RI_2023-01-13 12-45-42.mp4,\Scn2a_X1Behavior_Nov22\Male RI\01132023,Nov22_Pair17_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B6611,Het,,,20230104,Scn2aX1,,B6611,M,Het,1200,,,,Gina Williams,Josh Steighner,True,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair18,aggression,20230113,13:49,Nov22_Pair18_RI_2023-01-13 12-46-39.mp4,\Scn2a_X1Behavior_Nov22\Male RI\01132023,Nov22_Pair18_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B6613,WT,,,20230104,Scn2aX1,,B6613,M,WT,1200,,,,Gina Williams,Josh Steighner,True,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair19,aggression,20230113,13:49,Nov22_Pair19_RI_2023-01-13 12-47-14.mp4,\Scn2a_X1Behavior_Nov22\Male RI\01132023,Nov22_Pair19_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B6616,WT,,,20230104,Scn2aX1,,B6616,M,WT,1200,,,,Gina Williams,Josh Steighner,True,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair2,aggression,20221122,14:33,Nov22_Pair2_RI_WIN_20221122_13_28_24_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female RI\11222022,Nov22_Pair2_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8003,WT,,,,,,,20221114,Scn2aX1,,B8003,F,WT,1200,,,,Gina Williams,Josh Steighner,True,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair21,aggression,20230201,14:41,Nov22_Pair21_RI_2023-02-01 13-34-24.mp4,\Scn2a_X1Behavior_Nov22\Female RI\02012023,Nov22_Pair21_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8038,Het,,,,,,,20230124,Scn2aX1,,B8038,F,Het,1200,,,,Gina Williams,Josh Steighner,True,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair22,aggression,20230201,14:41,Nov22_Pair22_RI_2023-02-01 13-34-27.mp4,\Scn2a_X1Behavior_Nov22\Female RI\02012023,Nov22_Pair22_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8039,Het,,,,,,,20230124,Scn2aX1,,B8039,F,Het,1200,,,,Gina Williams,Josh Steighner,True,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair23,aggression,20230201,14:41,Nov22_Pair23_RI_2023-02-01 13-34-27 (2).mp4,\Scn2a_X1Behavior_Nov22\Female RI\02012023,Nov22_Pair23_RI.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8040,Het,,,,,,,20230124,Scn2aX1,,B8040,F,Het,1200,,,,Gina Williams,Josh Steighner,True,"[[245, 201, 39], [147, 120, 23]]",,,,
