,PairTag,AssayType,RecDate,VideoFile,VideoPath,ScoreFile,ScorePath,FemaleID,FemaleGT,FemaleFam,FemaleDOB,MaleID,MaleGT,MaleFam,MaleDOB,PairDate,CohortTag,AssayStart,FocalID,FocalSex,FocalGT,AssayDuration,AssayRoom,Timeline,Ethogram,RanBy,ScoredBy,FullTimeline,FocalColor,StrangerID,StrangerGT,PPTlane,PartnerChamber
0,Nov22_Pair1,introduction,11/14/2022,Nov22_Pair1Intro_WIN_20221114_12_47_25_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\11142022,Nov22_Pair1_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8002,Het,,,,,,,11/14/2022,Scn2aX1,,B8002,F,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
1,Nov22_Pair15,introduction,1/3/2023,Nov22_Pair15_Intro.mov,\Scn2a_X1Behavior_Nov22\Female Intros\01032023,Nov22_Pair15_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B6614,Het,,,,,,,1/3/2023,Scn2aX1,,B6614,F,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
2,Nov22_Pair16,introduction,1/3/2023,Nov22_Pair16_Intro_WIN_20230103_13_46_48_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\01032023,Nov22_Pair16_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B6615,WT,,,,,,,1/3/2023,Scn2aX1,,B6615,F,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
3,Nov22_Pair17,introduction,1/4/2023,Nov22_Pair17_Intro_WIN_20230104_12_24_30_Pro.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\01042023,Nov22_Pair17_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B6611,Het,,,1/4/2023,Scn2aX1,,B6611,M,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
4,Nov22_Pair18,introduction,1/4/2023,Nov22_Pair18_Intro_WIN_20230104_12_25_08_Pro.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\01042023,Nov22_Pair18_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B6613,WT,,,1/4/2023,Scn2aX1,,B6613,M,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
5,Nov22_Pair19,introduction,1/4/2023,Nov22_Pair19_Intro.mov,\Scn2a_X1Behavior_Nov22\Male Intros\01042023,Nov22_Pair19_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B6616,WT,,,1/4/2023,Scn2aX1,,B6616,M,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
6,Nov22_Pair2,introduction,11/14/2022,Nov22_Pair2Intro_WIN_20221114_12_47_37_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\11142022,Nov22_Pair2_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8003,WT,,,,,,,11/14/2022,Scn2aX1,,B8003,F,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
7,Nov22_Pair21,introduction,1/24/2023,Nov22_Pair21_Intro_2023-01-24 13-25-51.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\01242023,Nov22_Pair21_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8038,Het,,,,,,,1/24/2023,Scn2aX1,,B8038,F,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
8,Nov22_Pair22,introduction,1/24/2023,Nov22_Pair22_Intro_2023-01-24 13-25-52.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\01242023,Nov22_Pair22_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8039,Het,,,,,,,1/24/2023,Scn2aX1,,B8039,F,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
9,Nov22_Pair23,introduction,1/24/2023,Nov22_Pair23_Intro_2023-01-24 13-25-55.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\01242023,Nov22_Pair23_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8040,Het,,,,,,,1/24/2023,Scn2aX1,,B8040,F,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
10,Nov22_Pair24,introduction,1/25/2023,Nov22_Pair24_Intro_2023-01-25 13-23-32.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\01252023,Nov22_Pair24_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8041,Het,,,1/25/2023,Scn2aX1,,B8041,M,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
11,Nov22_Pair25,introduction,1/25/2023,Nov22_Pair25_Intro_2023-01-25 13-23-35.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\01252023,Nov22_Pair25_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8042,Het,,,1/25/2023,Scn2aX1,,B8042,M,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
12,Nov22_Pair26,introduction,1/25/2023,Nov22_Pair26_Intro_2023-01-25 13-23-52.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\01252023,Nov22_Pair26_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8043,Het,,,1/25/2023,Scn2aX1,,B8043,M,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
13,Nov22_Pair27,introduction,1/25/2023,Nov22_Pair27_Intro_WIN_20230125_13_23_38_Pro.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\01252023,Nov22_Pair27_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8044,Het,,,1/25/2023,Scn2aX1,,B8044,M,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
14,Nov22_Pair28,introduction,2/7/2023,Nov22_Pair28_Intro_2023-02-07 13-18-12.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\02072023,Nov22_Pair28_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8071,Het,,,,,,,2/7/2023,Scn2aX1,,B8071,F,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
15,Nov22_Pair29,introduction,2/7/2023,Nov22_Pair29_Intro_2023-02-07 13-18-14.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\02072023,Nov22_Pair29_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8072,Het,,,,,,,2/7/2023,Scn2aX1,,B8072,F,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
16,Nov22_Pair3,introduction,11/14/2022,Nov22_Pair3Intro.mov,\Scn2a_X1Behavior_Nov22\Female Intros\11142022,Nov22_Pair3_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8004,Het,,,,,,,11/14/2022,Scn2aX1,,B8004,F,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
17,Nov22_Pair30,introduction,2/7/2023,Nov22_Pair30_Intro_2023-02-07 13-18-15.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\02072023,Nov22_Pair30_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8075,Het,,,,,,,2/7/2023,Scn2aX1,,B8075,F,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
18,Nov22_Pair31,introduction,2/7/2023,Nov22_Pair31_Intro_WIN_20230207_13_18_15_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\02072023,Nov22_Pair31_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8077,WT,,,,,,,2/7/2023,Scn2aX1,,B8077,F,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
19,Nov22_Pair32,introduction,2/8/2023,Nov22_Pair32_Intro_2023-02-08 13-31-20.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\02082023,Nov22_Pair32_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8073,Het,,,2/8/2023,Scn2aX1,,B8073,M,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
20,Nov22_Pair33,introduction,2/8/2023,Nov22_Pair33_Intro_2023-02-08 13-31-22.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\02082023,Nov22_Pair33_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8074,Het,,,2/8/2023,Scn2aX1,,B8074,M,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
21,Nov22_Pair34,introduction,2/8/2023,Nov22_Pair34_Intro_2023-02-08 13-31-23.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\02082023,Nov22_Pair34_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8076,Het,,,2/8/2023,Scn2aX1,,B8076,M,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
22,Nov22_Pair35,introduction,2/28/2023,Nov22_Pair35_Intro_2023-02-28 14-02-19.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\02282023,Nov22_Pair35_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8105,WT,,,,,,,2/28/2023,Scn2aX1,,B8105,F,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
23,Nov22_Pair36,introduction,2/28/2023,Nov22_Pair36_Intro_2023-02-28 14-02-28.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\02282023,Nov22_Pair36_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8106,Het,,,,,,,2/28/2023,Scn2aX1,,B8106,F,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
24,Nov22_Pair37,introduction,3/1/2023,Nov22_Pair37_Intro_2023-03-01 13-29-49.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\03012023,Nov22_Pair37_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8103,Het,,,3/1/2023,Scn2aX1,,B8103,M,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
25,Nov22_Pair38,introduction,3/1/2023,Nov22_Pair38_Intro_2023-03-01 13-29-51.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\03012023,Nov22_Pair38_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8104,WT,,,3/1/2023,Scn2aX1,,B8104,M,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
26,Nov22_Pair39,introduction,3/15/2023,Nov22_Pair39_Intro_2023-03-15 13-54-04.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\03152023,Nov22_Pair39_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8116,WT,,,3/15/2023,Scn2aX1,,B8116,M,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
27,Nov22_Pair4,introduction,11/14/2022,Nov22_Pair4Intro.mov,\Scn2a_X1Behavior_Nov22\Female Intros\11142022,Nov22_Pair4_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8005,WT,,,,,,,11/14/2022,Scn2aX1,,B8005,F,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
