PairTag,AssayType,RecDate,RecTime,VideoFile,VideoPath,ScoreFile,ScorePath,FemaleID,FemaleGT,FemaleFam,FemaleDOB,MaleID,MaleGT,MaleFam,MaleDOB,PairDate,CohortTag,AssayStart,FocalID,FocalSex,FocalGT,AssayDuration,AssayRoom,Timeline,Ethogram,RanBy,ScoredBy,FullTimeline,FocalColor,StrangerID,StrangerGT,PPTlane,PartnerChamber
Nov22_Pair1,PPT,11/17/2022,12:26,,,,,B8002,Het,,,,,,,20221114,Scn2aX1,,B8002,F,Het,10800,,,,Gina Williams,Gina Williams,,"[[245, 201, 39], [147, 120, 23]]",,WT,1,Right
Nov22_Pair15,PPT,1/6/2023,13:19,,,,,B6614,Het,,,,,,,20230103,Scn2aX1,,B6614,F,Het,10800,,,,Gina Williams,Gina Williams,,"[[245, 201, 39], [147, 120, 23]]",,WT,4,Right
Nov22_Pair16,PPT,1/6/2023,13:19,,,,,B6615,WT,,,,,,,20230103,Scn2aX1,,B6615,F,WT,10800,,,,Gina Williams,Gina Williams,,"[[160, 146, 95], [96, 87, 57]]",,WT,3,Left
Nov22_Pair17,PPT,1/9/2023,13:11,,,,,,,,,B6611,Het,,,20230104,Scn2aX1,,B6611,M,Het,10800,,,,Gina Williams,Gina Williams,,"[[63, 78, 245], [33, 41, 131]]",,WT,1,Left
Nov22_Pair18,PPT,1/9/2023,13:11,,,,,,,,,B6613,WT,,,20230104,Scn2aX1,,B6613,M,WT,10800,,,,Gina Williams,Gina Williams,,"[[89, 91, 125], [53, 54, 75]]",,WT,2,Right
Nov22_Pair19,PPT,1/9/2023,13:11,,,,,,,,,B6616,WT,,,20230104,Scn2aX1,,B6616,M,WT,10800,,,,Gina Williams,Gina Williams,,"[[89, 91, 125], [53, 54, 75]]",,WT,3,Right
Nov22_Pair2,PPT,11/17/2022,12:26,,,,,B8003,WT,,,,,,,20221114,Scn2aX1,,B8003,F,WT,10800,,,,Gina Williams,Gina Williams,,"[[160, 146, 95], [96, 87, 57]]",,WT,2,Left
Nov22_Pair21,PPT,1/27/2023,12:06,,,,,B8038,Het,,,,,,,20230124,Scn2aX1,,B8038,F,Het,10800,,,,Gina Williams,Gina Williams,,"[[245, 201, 39], [147, 120, 23]]",,WT,1,Right
Nov22_Pair22,PPT,1/27/2023,12:06,,,,,B8039,Het,,,,,,,20230124,Scn2aX1,,B8039,F,Het,10800,,,,Gina Williams,Gina Williams,,"[[245, 201, 39], [147, 120, 23]]",,WT,2,Left
Nov22_Pair23,PPT,1/27/2023,12:06,,,,,B8040,Het,,,,,,,20230124,Scn2aX1,,B8040,F,Het,10800,,,,Gina Williams,Gina Williams,,"[[245, 201, 39], [147, 120, 23]]",,WT,3,Left
Nov22_Pair24,PPT,1/30/2023,13:46,,,,,,,,,B8041,Het,,,20230125,Scn2aX1,,B8041,M,Het,10800,,,,Gina Williams,Gina Williams,,"[[63, 78, 245], [33, 41, 131]]",,WT,1,Left
Nov22_Pair25,PPT,1/30/2023,13:46,,,,,,,,,B8042,Het,,,20230125,Scn2aX1,,B8042,M,Het,10800,,,,Gina Williams,Gina Williams,,"[[63, 78, 245], [33, 41, 131]]",,WT,2,Right
Nov22_Pair26,PPT,1/30/2023,13:46,,,,,,,,,B8043,Het,,,20230125,Scn2aX1,,B8043,M,Het,10800,,,,Gina Williams,Gina Williams,,"[[63, 78, 245], [33, 41, 131]]",,WT,3,Right
Nov22_Pair27,PPT,1/30/2023,13:46,,,,,,,,,B8044,Het,,,20230125,Scn2aX1,,B8044,M,Het,10800,,,,Gina Williams,Gina Williams,,"[[63, 78, 245], [33, 41, 131]]",,WT,4,Left
Nov22_Pair28,PPT,2/10/2023,13:21,,,,,B8071,Het,,,,,,,20230207,Scn2aX1,,B8071,F,Het,10800,,,,Gina Williams,Gina Williams,,"[[245, 201, 39], [147, 120, 23]]",,WT,1,Right
Nov22_Pair29,PPT,2/10/2023,13:21,,,,,B8072,Het,,,,,,,20230207,Scn2aX1,,B8072,F,Het,10800,,,,Gina Williams,Gina Williams,,"[[245, 201, 39], [147, 120, 23]]",,WT,2,Left
Nov22_Pair3,PPT,11/17/2022,12:26,,,,,B8004,Het,,,,,,,20221114,Scn2aX1,,B8004,F,Het,10800,,,,Gina Williams,Gina Williams,,"[[245, 201, 39], [147, 120, 23]]",,WT,3,Left
Nov22_Pair30,PPT,2/10/2023,13:21,,,,,B8075,Het,,,,,,,20230207,Scn2aX1,,B8075,F,Het,10800,,,,Gina Williams,Gina Williams,,"[[245, 201, 39], [147, 120, 23]]",,WT,3,Right
Nov22_Pair31,PPT,2/10/2023,13:21,,,,,B8077,WT,,,,,,,20230207,Scn2aX1,,B8077,F,WT,10800,,,,Gina Williams,Gina Williams,,"[[160, 146, 95], [96, 87, 57]]",,WT,4,Left
Nov22_Pair32,PPT,2/13/2023,13:35,,,,,,,,,B8073,Het,,,20230208,Scn2aX1,,B8073,M,Het,10800,,,,Gina Williams,Gina Williams,,"[[63, 78, 245], [33, 41, 131]]",,WT,1,Left
Nov22_Pair33,PPT,2/13/2023,13:35,,,,,,,,,B8074,Het,,,20230208,Scn2aX1,,B8074,M,Het,10800,,,,Gina Williams,Gina Williams,,"[[63, 78, 245], [33, 41, 131]]",,WT,2,Right
Nov22_Pair34,PPT,2/13/2023,13:35,,,,,,,,,B8076,Het,,,20230208,Scn2aX1,,B8076,M,Het,10800,,,,Gina Williams,Gina Williams,,"[[63, 78, 245], [33, 41, 131]]",,WT,3,Left
Nov22_Pair35,PPT,3/3/2023,13:12,,,,,B8105,WT,,,,,,,20230228,Scn2aX1,,B8105,F,WT,10800,,,,Gina Williams,Gina Williams,,"[[160, 146, 95], [96, 87, 57]]",,WT,1,Right
Nov22_Pair36,PPT,3/3/2023,13:12,,,,,B8106,Het,,,,,,,20230228,Scn2aX1,,B8106,F,Het,10800,,,,Gina Williams,Gina Williams,,"[[245, 201, 39], [147, 120, 23]]",,WT,2,Left
Nov22_Pair37,PPT,3/6/2023,13:39,,,,,,,,,B8103,Het,,,20230301,Scn2aX1,,B8103,M,Het,10800,,,,Gina Williams,Gina Williams,,"[[63, 78, 245], [33, 41, 131]]",,WT,1,Right
Nov22_Pair38,PPT,3/6/2023,13:39,,,,,,,,,B8104,WT,,,20230301,Scn2aX1,,B8104,M,WT,10800,,,,Gina Williams,Gina Williams,,"[[89, 91, 125], [53, 54, 75]]",,WT,2,Left
Nov22_Pair39,PPT,3/20/2023,13:13,,,,,,,,,B8116,WT,,,20230315,Scn2aX1,,B8116,M,WT,10800,,,,Gina Williams,Gina Williams,,"[[89, 91, 125], [53, 54, 75]]",,WT,2,Right
Nov22_Pair4,PPT,11/17/2022,12:26,,,,,B8005,WT,,,,,,,20221114,Scn2aX1,,B8005,F,WT,10800,,,,Gina Williams,Gina Williams,,"[[160, 146, 95], [96, 87, 57]]",,WT,4,Right
Nov22_Pair40,PPT,3/20/2023,13:13,,,,,,,,,B8117,WT,,,20230315,Scn2aX1,,B8117,M,WT,10800,,,,Gina Williams,Gina Williams,,"[[89, 91, 125], [53, 54, 75]]",,WT,3,Right
Nov22_Pair41,PPT,3/20/2023,13:13,,,,,,,,,B8118,WT,,,20230315,Scn2aX1,,B8118,M,WT,10800,,,,Gina Williams,Gina Williams,,"[[89, 91, 125], [53, 54, 75]]",,WT,4,Right
Nov22_Pair42,PPT,3/27/2023,13:37,,,,,,,,,B8129,Het,,,20230322,Scn2aX1,,B8129,M,Het,10800,,,,Gina Williams,Gina Williams,,"[[63, 78, 245], [33, 41, 131]]",,WT,1,Left
Nov22_Pair43,PPT,3/27/2023,13:37,,,,,,,,,B8130,WT,,,20230322,Scn2aX1,,B8130,M,WT,10800,,,,Gina Williams,Gina Williams,,"[[89, 91, 125], [53, 54, 75]]",,WT,2,Left
Nov22_Pair44,PPT,4/10/2023,13:41,,,,,,,,,B8144,Het,,,20230405,Scn2aX1,,B8144,M,Het,10800,,,,Gina Williams,Gina Williams,,"[[63, 78, 245], [33, 41, 131]]",,WT,1,Right
Nov22_Pair46,PPT,4/10/2023,13:41,,,,,,,,,B8150,Het,,,20230405,Scn2aX1,,B8150,M,Het,10800,,,,Gina Williams,Gina Williams,,"[[63, 78, 245], [33, 41, 131]]",,WT,3,Left
Nov22_Pair47,PPT,4/17/2023,13:21,,,,,,,,,B8159,WT,,,20230412,Scn2aX1,,B8159,M,WT,10800,,,,Gina Williams,Gina Williams,,"[[89, 91, 125], [53, 54, 75]]",,WT,1,Left
Nov22_Pair48,PPT,4/17/2023,13:21,,,,,,,,,B8162,Het,,,20230412,Scn2aX1,,B8162,M,Het,10800,,,,Gina Williams,Gina Williams,,"[[63, 78, 245], [33, 41, 131]]",,WT,2,Right
Nov22_Pair49,PPT,4/17/2023,13:21,,,,,,,,,B8163,WT,,,20230412,Scn2aX1,,B8163,M,WT,10800,,,,Gina Williams,Gina Williams,,"[[89, 91, 125], [53, 54, 75]]",,WT,3,Right
Nov22_Pair5,PPT,12/2/2022,13:33,,,,,B8033,Het,,,,,,,20221129,Scn2aX1,,B8033,F,Het,10800,,,,Gina Williams,Gina Williams,,"[[245, 201, 39], [147, 120, 23]]",,WT,1,Right
Nov22_Pair50,PPT,4/17/2023,13:21,,,,,,,,,B8164,Het,,,20230412,Scn2aX1,,B8164,M,Het,10800,,,,Gina Williams,Gina Williams,,"[[63, 78, 245], [33, 41, 131]]",,WT,4,Left
Nov22_Pair51,PPT,4/24/2023,13:23,,,,,,,,,B8168,WT,,,20230419,Scn2aX1,,B8168,M,WT,10800,,,,Gina Williams,Gina Williams,,"[[89, 91, 125], [53, 54, 75]]",,WT,3,Left
Nov22_Pair52,PPT,4/24/2023,13:23,,,,,,,,,B8170,Het,,,20230419,Scn2aX1,,B8170,M,Het,10800,,,,Gina Williams,Gina Williams,,"[[63, 78, 245], [33, 41, 131]]",,WT,4,Right
Nov22_Pair56,PPT,8/11/2023,13:46,,,,,B8232,WT,,,,,,,20230808,Scn2aX1,,B8232,F,WT,10800,,,,Gina Williams,Gina Williams,,"[[160, 146, 95], [96, 87, 57]]",,WT,3,Left
Nov22_Pair57,PPT,8/14/2023,13:27,,,,,,,,,B8240,WT,,,20230809,Scn2aX1,,B8240,M,WT,10800,,,,Gina Williams,Gina Williams,,"[[89, 91, 125], [53, 54, 75]]",,WT,1,Right
Nov22_Pair58,PPT,8/14/2023,13:27,,,,,,,,,B8241,WT,,,20230809,Scn2aX1,,B8241,M,WT,10800,,,,Gina Williams,Gina Williams,,"[[89, 91, 125], [53, 54, 75]]",,WT,2,Left
Nov22_Pair59,PPT,9/8/2023,13:07,,,,,B8258,WT,,,,,,,20230905,Scn2aX1,,B8258,F,WT,10800,,,,Gina Williams,Gina Williams,,"[[160, 146, 95], [96, 87, 57]]",,WT,1,Right
Nov22_Pair6,PPT,12/2/2022,13:33,,,,,B8034,Het,,,,,,,20221129,Scn2aX1,,B8034,F,Het,10800,,,,Gina Williams,Gina Williams,,"[[245, 201, 39], [147, 120, 23]]",,WT,2,Left
Nov22_Pair61,PPT,11/10/2023,13:07,,,,,B8267,WT,,,,,,,20231107,Scn2aX1,,B8267,F,WT,10800,,,,Gina Williams,Gina Williams,,"[[160, 146, 95], [96, 87, 57]]",,WT,1,Left
Nov22_Pair62,PPT,11/10/2023,13:07,,,,,B8268,WT,,,,,,,20231107,Scn2aX1,,B8268,F,WT,10800,,,,Gina Williams,Gina Williams,,"[[160, 146, 95], [96, 87, 57]]",,WT,2,Right
Nov22_Pair63,PPT,11/10/2023,13:07,,,,,B8269,WT,,,,,,,20231107,Scn2aX1,,B8269,F,WT,10800,,,,Gina Williams,Gina Williams,,"[[160, 146, 95], [96, 87, 57]]",,WT,3,Right
Nov22_Pair64,PPT,11/10/2023,13:07,,,,,B8270,WT,,,,,,,20231107,Scn2aX1,,B8270,F,WT,10800,,,,Gina Williams,Gina Williams,,"[[160, 146, 95], [96, 87, 57]]",,WT,4,Left
Nov22_Pair7,PPT,12/2/2022,13:33,,,,,B8018,Het,,,,,,,20221129,Scn2aX1,,B8018,F,Het,10800,,,,Gina Williams,Gina Williams,,"[[245, 201, 39], [147, 120, 23]]",,WT,3,Right
Nov22_Pair8,PPT,12/2/2022,13:33,,,,,B8019,WT,,,,,,,20221129,Scn2aX1,,B8019,F,WT,10800,,,,Gina Williams,Gina Williams,,"[[160, 146, 95], [96, 87, 57]]",,WT,4,Left
,,,,,,,,,,,,,,,,,,,,,,,,,,Gina Williams,Gina Williams,,,,,,
