PairTag,AssayType,RecDate,RecTime,VideoFile,VideoPath,ScoreFile,ScorePath,FemaleID,FemaleGT,FemaleFam,FemaleDOB,MaleID,MaleGT,MaleFam,MaleDOB,PairDate,CohortTag,AssayStart,FocalID,FocalSex,FocalGT,AssayDuration,AssayRoom,Timeline,Ethogram,RanBy,ScoredBy,FullTimeline,FocalColor,LeftID,LeftGT,LeftSex,LeftDOB,LeftType,RightID,RightGT,RightSex,RightDOB,RightType,StrangerID,PPTlane,PartnerChamber,CameraType,FocalGTConfirmed,Pregnant
Nov22_Pair1,PPT,20221117,12:26,Nov22_Pair1_PPT_WIN_20221117_12_25_03_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\11172022,Nov22_Pair1_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8002,Het,,,,,,,20221114,Scn2aX1,,B8002,F,Het,10800,,,,Gina Williams,Gina Williams,True,"[[245, 201, 39], [147, 120, 23]]",,WT,M,,Stranger,,WT,M,,Partner,,1,Right,,,
Nov22_Pair15,PPT,20230106,13:19,Nov22_Pair15_PPT.mov,\Scn2a_X1Behavior_Nov22\Female PPTs\01062023,Nov22_Pair15_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B6614,Het,,,,,,,20230103,Scn2aX1,,B6614,F,Het,10800,,,,Gina Williams,Gina Williams,True,"[[245, 201, 39], [147, 120, 23]]",,WT,M,,Stranger,,WT,M,,Partner,,4,Right,,,
Nov22_Pair16,PPT,20230106,13:19,Nov22_Pair16_PPT_2023-01-06 13-18-09.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\01062023,Nov22_Pair16_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B6615,WT,,,,,,,20230103,Scn2aX1,,B6615,F,WT,10800,,,,Gina Williams,Gina Williams,True,"[[160, 146, 95], [96, 87, 57]]",,WT,M,,Partner,,WT,M,,Stranger,,3,Left,,,
Nov22_Pair17,PPT,20230109,13:11,Nov22_Pair17_PPT_WIN_20230109_13_10_33_Pro.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\01092023,Nov22_Pair17_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B6611,Het,,,20230104,Scn2aX1,,B6611,M,Het,10800,,,,Gina Williams,Gina Williams,True,"[[63, 78, 245], [33, 41, 131]]",,WT,F,,Partner,,WT,F,,Stranger,,1,Left,,,
Nov22_Pair18,PPT,20230109,13:11,Nov22_Pair18_PPT_2023-01-09 13-10-28.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\01092023,Nov22_Pair18_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B6613,WT,,,20230104,Scn2aX1,,B6613,M,WT,10800,,,,Gina Williams,Gina Williams,True,"[[89, 91, 125], [53, 54, 75]]",,WT,F,,Stranger,,WT,F,,Partner,,2,Right,,,
Nov22_Pair19,PPT,20230109,13:11,Nov22_Pair19_PPT_2023-01-09 13-11-33.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\01092023,Nov22_Pair19_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B6616,WT,,,20230104,Scn2aX1,,B6616,M,WT,10800,,,,Gina Williams,Gina Williams,True,"[[89, 91, 125], [53, 54, 75]]",,WT,F,,Stranger,,WT,F,,Partner,,3,Right,,,
Nov22_Pair2,PPT,20221117,12:26,Nov22_Pair2_PPT_WIN_20221117_12_24_58_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\11172022,Nov22_Pair2_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8003,WT,,,,,,,20221114,Scn2aX1,,B8003,F,WT,10800,,,,Gina Williams,Gina Williams,True,"[[160, 146, 95], [96, 87, 57]]",,WT,M,,Partner,,WT,M,,Stranger,,2,Left,,,
Nov22_Pair21,PPT,20230127,12:06,Nov22_Pair21_PPT_2023-01-27 13-11-20.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\01272023,Nov22_Pair21_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8038,Het,,,,,,,20230124,Scn2aX1,,B8038,F,Het,10800,,,,Gina Williams,Gina Williams,True,"[[245, 201, 39], [147, 120, 23]]",,WT,M,,Stranger,,WT,M,,Partner,,1,Right,,,
Nov22_Pair22,PPT,20230127,12:06,Nov22_Pair22_PPT_2023-01-27 13-11-22.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\01272023,Nov22_Pair22_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8039,Het,,,,,,,20230124,Scn2aX1,,B8039,F,Het,10800,,,,Gina Williams,Gina Williams,True,"[[245, 201, 39], [147, 120, 23]]",,WT,M,,Partner,,WT,M,,Stranger,,2,Left,,,
Nov22_Pair23,PPT,20230127,12:06,Nov22_Pair23_PPT_2023-01-27 13-11-23.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\01272023,Nov22_Pair23_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8040,Het,,,,,,,20230124,Scn2aX1,,B8040,F,Het,10800,,,,Gina Williams,Gina Williams,True,"[[245, 201, 39], [147, 120, 23]]",,WT,M,,Partner,,WT,M,,Stranger,,3,Left,,,
