PairTag,AssayType,RecDate,RecTime,VideoFile,VideoPath,ScoreFile,ScorePath,FemaleID,FemaleGT,FemaleFam,FemaleDOB,MaleID,MaleGT,MaleFam,MaleDOB,PairDate,CohortTag,AssayStart,FocalID,FocalSex,FocalGT,AssayDuration,AssayRoom,Timeline,Ethogram,RanBy,ScoredBy,FullTimeline,FocalColor,StrangerID,StrangerGT,PPTlane,PartnerChamber
Nov22_Pair1,reunion,20221120,14:40,Nov22_Pair1_SR_WIN_20221120_13_40_22_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female SepReunion\11202022,NK_011823_Nov22_Pair1_SR_WIN_20221120_13_40_22_Pro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8002,Het,,,,,,,20221114,Scn2aX1,,B8002,F,Het,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair15,reunion,20230109,14:51,Nov22_Pair15_SR_2023-01-09 13-44-53.mp4,\Scn2a_X1Behavior_Nov22\Female SepReunion\01092023,NK_Nov22_Pair15_SR_2023-01-09 13-44-53.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B6614,Het,,,,,,,20230103,Scn2aX1,,B6614,F,Het,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair16,reunion,20230109,14:51,Nov22_Pair16_SR_2023-01-09 13-45-43.mp4,\Scn2a_X1Behavior_Nov22\Female SepReunion\01092023,NK_Nov22_Pair16_SR_2023-01-09 13-45-43.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B6615,WT,,,,,,,20230103,Scn2aX1,,B6615,F,WT,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair17,reunion,20230111,15:02,Nov22_Pair17_SR_2023-01-11 13-52-19.mp4,\Scn2a_X1Behavior_Nov22\Male SepReunion\01112023,Nov22_Pair17_SR.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B6611,Het,,,20230104,Scn2aX1,,B6611,M,Het,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair18,reunion,20230111,15:02,Nov22_Pair18_SR_2023-01-11 13-52-21.mp4,\Scn2a_X1Behavior_Nov22\Male SepReunion\01112023,NK_Male_Nov22_Pair18_SR_2023-01-11 13-52-21.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B6613,WT,,,20230104,Scn2aX1,,B6613,M,WT,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair19,reunion,20230111,15:02,Nov22_Pair19_SR_2023-01-11 13-52-20.mp4,\Scn2a_X1Behavior_Nov22\Male SepReunion\01112023,NK_Male_Nov22_Pair19_SR_2023-01-11 13-52-20.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B6616,WT,,,20230104,Scn2aX1,,B6616,M,WT,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair2,reunion,20221120,14:40,Nov22_Pair2_SR_WIN_20221120_13_31_04_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female SepReunion\11202022,NK_Nov22_Pair2_SR_WIN_20221120_13_31_04_Pro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8003,WT,,,,,,,20221114,Scn2aX1,,B8003,F,WT,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair21,reunion,20230130,12:38,Nov22_Pair21_SR_2023-01-30 11-27-39.mp4,\Scn2a_X1Behavior_Nov22\Female SepReunion\01302023,NK_Nov22_Pair21_SR_2023-01-30 11-27-39.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8038,Het,,,,,,,20230124,Scn2aX1,,B8038,F,Het,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair22,reunion,20230130,12:38,Nov22_Pair22_SR_2023-01-30 11-28-32.mp4,\Scn2a_X1Behavior_Nov22\Female SepReunion\01302023,NK_Nov22_Pair22_SR_2023-01-30 11-28-32.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8039,Het,,,,,,,20230124,Scn2aX1,,B8039,F,Het,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair23,reunion,20230130,12:38,Nov22_Pair23_SR_2023-01-30 11-28-56.mp4,\Scn2a_X1Behavior_Nov22\Female SepReunion\01302023,NK_Nov22_Pair23_SR_2023-01-30 11-28-56.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8040,Het,,,,,,,20230124,Scn2aX1,,B8040,F,Het,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair24,reunion,20230201,16:15,Nov22_Pair24_SR_2023-02-01 15-07-38.mp4,\Scn2a_X1Behavior_Nov22\Male SepReunion\02012023,NK_Male_Nov22_Pair24_SR_2023-02-01 15-07-38.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8041,Het,,,20230125,Scn2aX1,,B8041,M,Het,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair25,reunion,20230201,16:15,Nov22_Pair25_SR_2023-02-01 15-07-39.mp4,\Scn2a_X1Behavior_Nov22\Male SepReunion\02012023,NK_Male_Nov22_Pair25_SR_2023-02-01 15-07-39 (imported at 2023-06-08 12_24_48).csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8042,Het,,,20230125,Scn2aX1,,B8042,M,Het,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[63, 78, 245], [33, 41, 131]]",,,,
