,NC,Het_Sex,Het_Side,Center_ct,Center_lat,Center_prop,Center_sec,Huddle_Center_ct,Huddle_Center_lat,Huddle_Center_prop,Huddle_Center_sec,Huddle_Left_ct,Huddle_Left_lat,Huddle_Left_prop,Huddle_Left_sec,Huddle_Right_ct,Huddle_Right_lat,Huddle_Right_prop,Huddle_Right_sec,Huddle_Unknown_sec,Known_sec,Left_ct,Left_lat,Left_prop,Left_sec,Right_ct,Right_lat,Right_prop,Right_sec,Unknown_sec,Huddle_LR_PI,Huddle_WT_ct,Huddle_WT_lat,Huddle_WT_prop,Huddle_WT_sec,WT_ct,WT_lat,WT_prop,WT_sec,Huddle_HT_ct,Huddle_HT_lat,Huddle_HT_prop,Huddle_HT_sec,HT_ct,HT_lat,HT_prop,HT_sec,Huddle_geno_PI
NC1,1,M,Left,68,0,0.023886053,517.4666641,0,0,0,0,696,373.3833333,0.745278257,16145.68331,248,293.65,0.017432942,377.6666652,0,21663.96667,716,372.0833333,0.946578728,20506.65001,251,292.5166667,0.029535219,639.8500003,0,0.954286913,248,293.65,0.017432942,377.6666652,251,292.5166667,0.029535219,639.8500003,696,373.3833333,0.745278257,16145.68331,716,372.0833333,0.946578728,20506.65001,-0.954286913
NC2,2,M,Right,129,0,0.060288357,1305.050008,0,0,0,0,970,342.2333333,0.509361656,11026.0499,469,40.4,0.013590156,294.1833794,0,21646.8,989,346.3333333,0.671845261,14543.29999,493,47.35,0.267866382,5798.450005,0,0.948025209,970,342.2333333,0.509361656,11026.0499,989,346.3333333,0.671845261,14543.29999,469,40.4,0.013590156,294.1833794,493,47.35,0.267866382,5798.450005,0.948025209
NC4,4,F,Right,338,0,0.112433665,2447.416667,0,0,0,0,628,5.66666667,0.349641172,7610.866667,994,577.6666667,0.133794875,2912.4,0,21767.65,774,3.16666667,0.56936019,12393.63333,1111,89.8833333,0.318206145,6926.6,0,0.446483665,628,5.66666667,0.349641172,7610.866667,774,3.16666667,0.56936019,12393.63333,994,577.6666667,0.133794875,2912.4,1111,89.8833333,0.318206145,6926.6,0.446483665
NC5,5,F,Left,192,0,0.049301141,1072.816667,0,0,6.28E-05,1.366666667,731,51.66666667,0.12828223,2791.483333,1406,42.1,0.489539525,10652.61667,0,21760.48333,787,49.83333333,0.199610303,4343.616667,1505,41.33333333,0.751088556,16344.05,2.383333333,-0.584727377,1406,42.1,0.489539525,10652.61667,1505,41.33333333,0.751088556,16344.05,731,51.66666667,0.12828223,2791.483333,787,49.83333333,0.199610303,4343.616667,0.584727377
NC6,6,F,Left,260,0,0.068116701,1481.516676,0,0,0,0,946,81.3833333,0.626684985,13630.19998,350,58.78333333,0.029622653,644.2833207,0,21749.68333,1040,75.45,0.784255096,17057.3,456,1.58333333,0.147628203,3210.866658,0,0.909729367,350,58.78333333,0.029622653,644.2833207,456,1.58333333,0.147628203,3210.866658,946,81.3833333,0.626684985,13630.19998,1040,75.45,0.784255096,17057.3,-0.909729367
NC8,8,F,Left,177,294.2333333,0.072128375,1564.816676,0,0,0,0,603,103.1166667,0.705330676,15302.06673,365,5142.983333,0.020346585,441.416777,0,21694.88333,671,0,0.824948739,17897.16664,465,3593.5,0.102922886,2232.900013,0,0.943923875,365,5142.983333,0.020346585,441.416777,465,3593.5,0.102922886,2232.900013,603,103.1166667,0.705330676,15302.06673,671,0,0.824948739,17897.16664,-0.943923875
NC9,9,F,Right,130,0,0.035509679,770.2333415,0,0,0,0,400,22.4,0.033005542,715.916614,718,3.16666667,0.702895541,15246.36661,0,21690.8,432,21.01666667,0.105667687,2292.016662,756,1.08333333,0.858822634,18628.55,0,-0.910298971,400,22.4,0.033005542,715.916614,432,21.01666667,0.105667687,2292.016662,718,3.16666667,0.702895541,15246.36661,756,1.08333333,0.858822634,18628.55,-0.910298971
NC10,10,F,Right,118,0,0.085478748,1855.333328,0,0,0,0,1417,2.2,0.194732136,4226.699958,99,125.5333333,0.002434131,52.8332984,0,21705.19999,1485,1.5,0.87220574,18931.40001,133,123.2,0.042315512,918.4666506,0.48333666,0.97530885,1417,2.2,0.194732136,4226.699958,1485,1.5,0.87220574,18931.40001,99,125.5333333,0.002434131,52.8332984,133,123.2,0.042315512,918.4666506,0.97530885
NC11,11,F,Left,522,0,0.627682441,13623,0,0,0,0,413,21.01666667,0.013072302,283.7166667,471,26.56666667,0.014201912,308.2333333,0,21703.65,660,1.183333333,0.147482106,3200.9,732,25.11666667,0.224835454,4879.75,0,-0.041416786,471,26.56666667,0.014201912,308.2333333,732,25.11666667,0.224835454,4879.75,413,21.01666667,0.013072302,283.7166667,660,1.183333333,0.147482106,3200.9,0.041416786
NC12,12,F,Left,274,0,0.061900056,1345.916657,0,0,0,0,2194,37.75,0.472666394,10277.36659,1179,31.71666667,0.0491092,1067.800166,0,21743.38333,2327,35.25,0.771609449,16777.40002,1291,6.75,0.166490495,3620.06665,0,0.811761222,1179,31.71666667,0.0491092,1067.800166,1291,6.75,0.166490495,3620.06665,2194,37.75,0.472666394,10277.36659,2327,35.25,0.771609449,16777.40002,-0.811761222
NC13,13,F,Right,199,3.4,0.084532927,1835.400041,0,0,0,0,973,62.96666663,0.037611637,816.6332704,1038,22.7,0.031083834,674.8999824,0,21712.25,1055,62.13333333,0.727932388,15805.04999,1116,0,0.187534685,4071.799973,0.01666667,0.095025228,973,62.96666663,0.037611637,816.6332704,1055,62.13333333,0.727932388,15805.04999,1038,22.7,0.031083834,674.8999824,1116,0,0.187534685,4071.799973,0.095025228
NC14,14,F,Right,287,0,0.061757025,1341.716663,0,0,0,0,1668,12.38333333,0.424584813,9224.416421,1323,21.31666667,0.115348616,2506.033272,0,21725.73334,1797,10.73333333,0.664121809,14428.53334,1475,18.88333333,0.274121165,5955.483338,0.03333334,0.57273023,1668,12.38333333,0.424584813,9224.416421,1797,10.73333333,0.664121809,14428.53334,1323,21.31666667,0.115348616,2506.033272,1475,18.88333333,0.274121165,5955.483338,0.57273023
