file,behavior,start_time,end_time
Nov22_Pair15_PPT.csv,Interact Left,270.652,270.903
Nov22_Pair15_PPT.csv,Huddle Left,270.655,270.903
Nov22_Pair15_PPT.csv,Center,1537.649,1540.12
Nov22_Pair15_PPT.csv,Left,1537.657,1540.121
Nov22_Pair15_PPT.csv,Center,2806.374,2807.655
Nov22_Pair15_PPT.csv,Left,2807.622,2807.656
Nov22_Pair15_PPT.csv,Left,3895.658,3896.121
Nov22_Pair15_PPT.csv,Interact Left,3988.624,3991.625
Nov22_Pair15_PPT.csv,Left,3989.121,3991.625
Nov22_Pair16_PPT.csv,Right,347.954,347.955
Nov22_Pair17_PPT.csv,Left,2182.116,2182.866
Nov22_Pair17_PPT.csv,Right,2182.124,2182.866
Nov22_Pair17_PPT.csv,Huddle Left,2411.123,2416.872
Nov22_Pair17_PPT.csv,Left,2414.626,2416.872
Nov22_Pair17_PPT.csv,Left,2456.37,2457.106
Nov22_Pair19_PPT.csv,Center,2907.202,2907.203
Nov22_Pair21_PPT.csv,Right,692.863,693.538
Nov22_Pair21_PPT.csv,Left,692.872,693.538
Nov22_Pair21_PPT.csv,Right,6342.118,6353.783
Nov22_Pair22_PPT.csv,Huddle Left,353.87,353.871
Nov22_Pair22_PPT.csv,Huddle Left,635.779,636.204
Nov22_Pair22_PPT.csv,Left,635.788,636.205
Nov22_Pair22_PPT.csv,Interact Left,4000.442,4001.871
Nov22_Pair22_PPT.csv,Center,4000.451,4001.871
Nov22_Pair22_PPT.csv,Left,5875.118,5876.121
Nov22_Pair22_PPT.csv,Interact Left,5875.122,5876.121
Nov22_Pair22_PPT.csv,Right,6169.37,6170.287
Nov22_Pair23_PPT.csv,Right,258.951,259.201
Nov22_Pair23_PPT.csv,Huddle Right,258.957,259.201
Nov22_Pair24_PPT.csv,Left,2984.954,2986.704
Nov22_Pair25_PPT.csv,Center,2601.868,2602.621
Nov22_Pair25_PPT.csv,Right,2601.873,2602.621
Nov22_Pair28_PPT.csv,Right,2913.872,2914.871
Nov22_Pair30_PPT.csv,Center,112.691,113.121
Nov22_Pair30_PPT.csv,Interact Left,112.7,113.121
Nov22_Pair32_PPT.csv,Left,3965.452,3965.869
Nov22_Pair37_PPT.csv,Center,1710.621,1710.622
Nov22_Pair37_PPT.csv,Right,2057.539,2062.038
Nov22_Pair37_PPT.csv,Center,2061.706,2062.039
Nov22_Pair4_PPT.csv,Left,540.152,540.153
Nov22_Pair4_PPT.csv,Huddle Right,4440.659,4500.658
Nov22_Pair40_PPT.csv,Right,1092.372,1094.287
Nov22_Pair46_PPT.csv,Left,4635.53,4635.952
Nov22_Pair46_PPT.csv,Right,4635.539,4635.952
Nov22_Pair47_PPT.csv,Center,2631.788,2637.286
Nov22_Pair47_PPT.csv,Right,2635.787,2637.285
Nov22_Pair5_PPT.csv,Right,2809.862,2813.367
Nov22_Pair5_PPT.csv,Left,2809.867,2813.367
Nov22_Pair7_PPT.csv,Huddle Right,1051.655,1052.121
Nov22_Pair7_PPT.csv,Center,8586.904,8589.658
